Gallery,Location,Slug,ID,Email,Author,Website,Image,Description,Place
Crayon Art Gallery,1997,crayon-art-gallery-new-delhi,3978,art@crayonartgallery.com,5,https://www.crayonartgallery.com,https://indiaartfair.in/app/uploads/2018/11/Untitled-150x150.jpg,"Since its inception in 2006, Crayon Art Gallery has represented the finest Indian art, from the modern progressives to the contemporary period. The gallery enjoys excellent relationships with top patrons and industrial houses, and has placed works in several key collections, museums and auction houses.   ",new-delhi
Delhi Crafts Council,1997,delhi-crafts-council-new-delhi,200,delhicraft@gmail.com,7,http://www.delhicraftscouncil.org/,https://indiaartfair.in/app/uploads/2018/01/Untitled-150x150.jpeg,"Delhi Crafts Council is a non-profit working for the promotion and development of traditional artisans and crafts-people in a contemporary environment since 1967. As the Council’s first priority, sustainable livelihoods are supported by sensitive interventions for the revival of languishing crafts and through emphasis on marketing, design, identification of and support to young talent. Delhi Crafts Council is affiliated to the Crafts Council of India and to the World Crafts Council. ",new-delhi
Dhoomimal Gallery,0,dhoomimal-gallery-new-delhi,373,info@dhoomimalgallery.com,7,http://dhoomimalgallery.com/,https://indiaartfair.in/app/uploads/2018/01/Untitled-2-150x150.jpeg,"One of the oldest, legacy names in India art, Dhoomimal Gallery has been institutional in paving the way for several iconic modern artists from the region. Over the past 80 years, the gallery has represented artists including A. R. Chughtai and Sailoz Mookherjea, as well as worked with renowned critics like A. S. Rahman. Inspired by values inherited over generations and progressing in tandem with contemporary aesthetics, Dhoomimal Gallery also supports young artists through scholarship endowments from its Ravi Jain Foundation. ",new-delhi
Exhibit 320,1997,exhibit-320-new-delhi,377,exhibit320@gmail.com,7,http://www.exhibit320.com/,https://indiaartfair.in/app/uploads/2018/01/Untitled-3-150x150.jpeg,"Exhibit 320 is a leading contemporary art gallery. Throughout its programme, the gallery shines a spotlight on young, contemporary talent from the Indian sub-continent, emphasising engagement with fresh mediums and expanding visual dialogues. Beyond exhibitions, the gallery supports seminars and artist talks to promote cultural discourse among countries of South Asia.  ",new-delhi
Foundation for Indian Contemporary Art (FICA) x JSW Foundation,1997,fica-new-delhi,224,info@ficart.org,7,http://www.ficart.org/,https://indiaartfair.in/app/uploads/2018/01/Shilpa-Gupta-Shadow-3-©AndyBarnham-2018-168-150x150.jpeg,"The Foundation for Indian Contemporary Art (FICA) is a non-profit that aims to broaden the audience for contemporary Indian art, enhance opportunities for artists and establish a continuous dialogue between the arts and the public through education and active participation in public art projects and funding. Through the year, FICA works in collaboration with and for the benefit of the artistic community, including students, art historians, critics, curators, collectors and art enthusiasts, maintaining strong relationships with schools, foundations and other public institutions. Established in 1989, the JSW Foundation is the social development arm of JSW group governed by the ideology that every life is important and must be given fair opportunities to make the best out of it. JSW Foundation’s work in Art & Heritage is focussed on restoring India’s monuments such as Chandramauleshwar Temple in Hampi, Kenneseth Eliyahoo Synagogue as well as supporting and collaborating with artists and art organisations.   ",new-delhi
GALLERIE NVYĀ,1997,gallerie-nvya-new-delhi-2,387,info@gallerienvya.com,7,http://www.gallerienvya.com/intro.php,https://indiaartfair.in/app/uploads/2018/01/Untitled-5-150x150.jpg,"Gallerie Nvya is amongst the popular art spaces in New Delhi focussing on modern masters and senior artists while simultaneously encouraging young and new talent. Exhibitions at the gallery space, and collaborations with major airports, hotels, and malls explore media ranging from paintings and sculptures to ceramics and installations.  ",new-delhi
Gallery Espace,1997,gallery-espace-new-delhi,389,art@galleryespace.com,7,http://galleryespace.com/,https://indiaartfair.in/app/uploads/2018/01/Orchid-Meditations-A-Chitra-Ganesh-solo-exhibition-2023-Courtesy-of-the-artist-and-Gallery-Espace-150x150.jpeg,"Encouraged by the legendary painter M.F. Husain, Gallery Espace was established in 1989 and over the decades, has amassed recognition for its cross-disciplinary approach to exhibitionary practices. As part of its nuanced curatorial programme, the gallery represents a mix of senior as well as upcoming artists, holds large-scale, medium specific shows along with publishing books on modern and contemporary Indian art. ",new-delhi
Gallery Ragini,1997,gallery-ragini-new-delhi,391,galleryragini@gmail.com,7,http://www.galleryragini.com/,https://indiaartfair.in/app/uploads/2018/01/Untitled-6-150x150.jpg,"Gallery Ragini has been working in the realm of visual arts since 2005. The gallery attempts to act as a bridge connecting traditional art forms with contemporary audiences through gallery exhibitions, outreach programmes, art residencies and travelling art shows. ",new-delhi
Kiran Nadar Museum of Art (KNMA),1996,kiran-nadar-museum-of-art-new-delhi,230,jijo.jose@hcl.com,7,http://www.knma.in/,https://indiaartfair.in/app/uploads/2018/01/Elevator-from-the-Sub-continent-Interactive-video-installation-Elevator-cabin-dimension-7-feet-x-8-feet-x-8-feet-3-backlight-projections-automatic-door-s-3-150x150.jpg,"The Kiran Nadar Museum of Art (KNMA) opened its doors in 2010, as the first-ever private museum dedicated to modern and contemporary art from India and South Asia. Spread across two huge spaces in New Delhi and Noida,  KNMA has led pioneering efforts in exemplifying Indian art and culture through its exhibitions, publications, and educational and public programmes. The institution’s collection includes a magnificent range of 20th century Indian artists, from the pre-Independence and modernist decades as well as a dynamic diversity of the younger contemporaries. ",new-delhi
MASH,0,mash-sculptural-space-new-delhi,12914,57mashindia@gmail.com,5,https://www.mashindia.com,https://indiaartfair.in/app/uploads/2019/12/PHOTO-2023-01-30-14-42-42-150x150.jpg,"MASH is a digital platform aimed at exploring the intersection of Indian and global art, architecture, craft, design and fashion. With supporting young, upcoming artists and promoting experimental, new practices as its major objectives, MASH produces interviews with leading creatives, online exhibitions, artists talks along with hosting an arts podcast. At IAF 2024, MASH will present Threaded Visions: Contemporary Embroidery for a Sustainable Future curated by Dr Arshiya Lokhandwala and created by milaaya embroideries by Gayatri Khanna. ",new-delhi
Nature Morte,1997,nature-morte-new-delhi,411,info@naturemorte.com,7,http://www.naturemorte.com/,https://indiaartfair.in/app/uploads/2018/01/naturemorte-7792-w1200-h800-150x150.jpg,"Nature Morte is a leading Indian contemporary art gallery. Since its inception in 1997, the gallery has championed experimental art forms and genres, and defined a generation that came of age in the 1990s and early 21st century. Over the years, many of the artists associated with the gallery have gone on to attain international acclaim.  ",new-delhi
Palette Art Gallery,1997,palette-art-gallery-new-delhi,413,paletteart@gmail.com,7,http://www.paletteartgallery.com/,https://indiaartfair.in/app/uploads/2018/01/af1-150x150.jpg,"Founded in 2001, Palette Art Gallery is a contemporary space with a modern tone, presenting exhibitions that showcase both contemporary and modern masters. Located within one of New Delhi’s most upmarket neighbourhoods, the gallery runs a full programme of carefully curated exhibitions and engagements, exploring different mediums of artistic expression ranging from oils, watercolors, video, photography and performance art.   ",new-delhi
PHOTOINK,1997,photoink-new-delhi,415,gallery@photoink.net,7,http://www.photoink.net/,https://indiaartfair.in/app/uploads/2018/01/Until-the-End-of-the-World-2023-Courtesy-of-the-artist-and-PHOTOINK-150x150.jpeg,"PHOTOINK was founded in 2001 as a photo agency and publication studio. Since then, it has produced several illustrious photo books and exhibitions with a dedication to further interest in Indian photography. Along with representing succession estates, established and younger artists, the gallery supports the indexing and cataloguing of modern and contemporary photography archives. ",new-delhi
Pichvai Tradition And Beyond,1997,pichvai-tradition-beyond-new-delhi,10926,pichvai@ruh.co.in,5,https://www.pichvaitraditionandbeyond.in,https://indiaartfair.in/app/uploads/2019/11/4.-IMG_9834-150x150.jpg,"Set up in an atelier format in 2009, Pichvai Tradition & Beyond focuses on the revival of the century-old tradition of pichvai paintings by making it aesthetically and culturally relevant to contemporary times without ceding on the tradition’s ethos. With the objective of promoting the tradition among contemporary audiences, the gallery hosts exhibitions of works made by the atelier and iconic heritage pieces from private collections. ",new-delhi
Sanchit Art,1997,sanchit-art-new-delhi,430,info@sanchitart.in,7,http://www.sanchitart.in/,https://indiaartfair.in/app/uploads/2018/01/Post-1-150x150.jpeg,"Sanchit Art offers a panoramic presentation of modern and contemporary Indian arts scene, opening up its aesthetic, intellectual and spiritual dimensions through its exhibitions and programmes. Featuring a range of artists from modern masters, senior established contemporaries to young talent, the gallery provides patrons an opportunity to engage in deeper conversations with Indian art. ",new-delhi
Shrine Empire,1997,shrine-empire-new-delhi,432,info@shrineempiregallery.com,7,https://www.shrineempiregallery.com,https://indiaartfair.in/app/uploads/2018/01/Shrine-Empire-India-Art-Fair-2020-Installation-view-Courtesy-India-Art-Fair-3-1-150x150.jpeg,"Since its founding in 2008, Shrine Empire has consistently promoted Indian and South Asian artists. Spanning exhibitions, artist commissions, public art projects and research, the gallery’s extensive programme aims to explore the intersection between contemporary art, aesthetics and society. ",new-delhi
Vadehra Art Gallery,1997,vadehra-art-gallery-new-delhi,443,art@vadehraart.com,7,http://www.vadehraart.com/,https://indiaartfair.in/app/uploads/2018/01/N.S.-Harsha_Stomach-Studio_2022-150x150.jpg,"Representing a roster of artists across four generations, Vadehra Art Gallery was established in 1987 with a passion to pioneer Indian art as a conduit of cultural celebration, intellect and value in the public milieu. Modern masters like M.F. Husain, Ram Kumar, S.H. Raza and Tyeb Mehta find prime spot in the gallery’s calendar alongside the subsequent generation of modernists like Arpita Singh, A. Ramachandran, Nalini Malani, Gulammohammed Sheikh and Rameshwar Broota. The gallery’s expansive contemporary programme includes some of the most exciting names in Indian art such as Atul Dodiya, Shilpa Gupta, Anju Dodiya, N.S. Harsha and Sunil Gupta, as well as young emerging talent like Sachin George Sebastian, Shrimanti Saha and Shailesh B.R. Vadehra Art Gallery’s active and comprehensive programming takes the form of carefully curated and frequent exhibitions at two prominent locations in Delhi, alongside art events, engaging conversations and a growing digital platform. As a key artistic interlocutor to regional and international audiences, the gallery ventured into publishing in 1996, and over the last two decades has published several books and monographs in collaboration with major publishing houses like Penguin and Prestel, as well as hundreds of illustrated exhibition catalogues. ",new-delhi
Wonderwall,1997,wonderwall-new-delhi,445,ajay@wonderwall.co.in,7,http://www.wonderwall.co.in/,https://indiaartfair.in/app/uploads/2018/01/Waleed-Zafar-Feb-Tue-11-13-23-00-2020-Large-20-150x150.jpg,"Since 2007, Wonderwall has been instrumental in expanding interest in contemporary photography and new-age, experimental art, including video works. Curated exhibitions at the gallery space along with special collections on the dedicated online shop form mainstays of the gallery’s programme that showcases established and emerging artists. ",new-delhi
